 fx(N)  fy(N)  fz(N)  tx(N.m)  ty(N.m)  tz(N.m) 
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
-2.53512e+158          -8.7254e+160          -8.38828e+158          3.43003e+157          -1.90087e+157          1.58219e+159
